,_entropy_hour,_label,_rate,_total,cnt_app,cnt_device,ratio_inapp_detected,ratio_kid_back_home,ratio_net_limit,ratio_web_filtered,scaled_inapp_detected,scaled_kid_back_home,scaled_net_limit,scaled_web_filtered
a30ae79462a7653feb4d7c7ce64ede1d,3.17805383035,1,0.96368573637,-0.0249795129329,1,9,0.0,0.0225669957687,0.954160789845,0.0232722143865,-0.253918756827,-0.307322971686,0.30589315151,-0.037197798798
b6b4f7ebb5bc67865958f2c037f6d43b,3.00476703521,1,0.994748963017,-0.231980647268,4,13,0.275737940965,0.0,0.717062634989,0.00719942404608,-0.171447839502,-0.38606514573,-0.100722005251,-0.102387074231
ea7b630be1500e1dc5d039928d4234af,2.16088110989,1,0.999317964364,-0.291348629817,1,3,0.0,0.00205338809035,0.996919917864,0.00102669404517,-0.253918756827,-0.383604452791,-0.106666671286,-0.112863922068
971aa711f5ae1db4d63e5272acca5c86,2.10311884484,1,0.999756390512,-0.352147166163,1,6,0.0,0.967213114754,0.0,0.0327868852459,-0.253918756827,0.267248829539,-0.337557500066,-0.0930743205976
378cccceb45188ea366cf989388121d9,3.1202915653,1,0.92620178623,-0.084061384723,11,5,0.98225340487,0.0156830375567,0.0,0.00206355757326,0.258563705919,-0.339311979892,-0.337557500066,-0.108207545252
9692355960895cdb4a38938bdafd2c4d,3.06252930025,0,0.997282020998,-0.0498711489898,4,7,0.0281743050338,0.109691960932,0.859128474831,0.00300525920361,-0.237769099387,-0.0268039766555,0.206260548771,-0.104715262639
cd4636945212e72e615b8a2e5d8cfb2e,2.86744049912,1,0.998808992969,-0.303508337086,1,6,0.0,0.36670416198,0.599550056243,0.0337457817773,-0.253918756827,0.0150278033052,-0.21081722021,-0.0791051901477
4c2c7b3a1c74e9de96f3c114f7a2058e,1.48552245466,1,0.999346402268,-0.36902770096,1,2,0.0,0.0,1.0,0.0,-0.253918756827,-0.38606514573,-0.235071457631,-0.114028016272
4420e023f44370312443985fd2830911,3.17805383035,1,0.999317480425,-0.187347368821,16,10,0.80834803057,0.0,0.0,0.19165196943,0.04215829623,-0.38606514573,-0.337557500066,0.265466694283
09f8cd02690667e41cb136c602179eab,2.70542772917,0,0.997135975403,-0.0412878262115,1,9,0.0,0.814842027921,0.185157972079,0.0,-0.253918756827,2.34284332347,-0.21771303281,-0.114028016272
2ff383586246a5911cd7f744f88ad80a,2.66946747012,1,0.999617446908,-0.107951633122,1,7,0.0,0.082890070922,0.917109929078,0.0,-0.253918756827,-0.155990355946,0.15442306095,-0.114028016272
b9a539206834d87709176cc02bf853e9,2.94700477016,1,0.997873892942,-0.290776408299,4,2,0.605316973415,0.288343558282,0.0,0.106339468303,-0.126444127438,-0.0391074413498,-0.337557500066,0.00703778096
342cb1105449f5f25cb4e91d096fae2b,2.88924250511,1,0.997933824307,-0.324680533273,4,3,0.789473684211,0.0620782726046,0.112010796221,0.0364372469636,-0.127951428799,-0.329469208136,-0.317821208832,-0.0825974727602
310a0c204c48b86bf28959a4a0d5baca,2.61049670354,1,0.998797070454,-0.060028080944,11,10,0.620609803165,0.258201466615,0.117329216519,0.00385951370127,0.0923298986753,0.437036642321,-0.265270361087,-0.102387074231
24fc8b77ff6b92c6592ed439261fea8c,1.48552245466,1,0.999891521196,-0.223826490628,1,4,0.0,0.0,1.0,0.0,-0.253918756827,-0.38606514573,0.00628198337007,-0.114028016272
1d7a4e5f42d20f76f1afcf56cd00beca,1.88392969585,1,0.998078560336,-0.415377643962,2,1,0.971962616822,0.0,0.0,0.0280373831776,-0.231524565177,-0.38606514573,-0.337557500066,-0.11053573366
5dbcdae0f7a2b7ef6e7712d5c5a30775,2.41950063182,1,0.9995551223,-0.359013824385,1,1,0.0,0.0,0.992015968064,0.00798403193613,-0.253918756827,-0.38606514573,-0.2193775393,-0.109371639456
5e2369d34fdfadedafa15ec39c19b057,3.1202915653,1,0.993511540292,0.121509195815,11,26,0.491968911917,0.128238341969,0.377720207254,0.0020725388601,0.15499056954,0.222956356639,0.00913542306664,-0.104715262639
