,_entropy_hour,_label,_rate,_total,cnt_firmware_ver,cnt_payload_ip,cnt_profile_id,condition_updated,payload_lastwill,payload_malf_false,payload_malf_true,ratio_offline,ratio_online
2e5bd1e980b89662b1fad8f4255519fd,1.71173274105,0,0.946978120615,-0.136910297443,3,3,1,0,17,45,0,0.377777777778,0.622222222222
e211a2a47db085dd1bab73f735fc1ef2,1.69878298951,1,0.998455398656,-0.106520109721,2,2,2,53,6,68,0,0.102941176471,0.897058823529
71024dc6002c4edae88fdf73a6181ed4,1.13894886438,1,0.999272666791,-0.0985922346633,2,2,2,64,4,74,0,0.0675675675676,0.932432432432
23f2fdb7e0e428a65d7f19d238559cad,0.952512746879,1,0.992813935217,-0.135588984933,2,3,2,35,1,41,5,0.0217391304348,0.978260869565
db1b4f4f36090933279ea1617502b217,1.23267138848,0,0.997421790574,-0.107841422231,1,4,2,53,7,67,0,0.10447761194,0.89552238806
6cf5dda3957c09a2e17e53693b85bc7c,2.26801584267,1,0.999921874085,0.0454308288861,6,2,2,130,15,183,0,0.109289617486,0.890710382514
5ce7f1dd0a6b6963bf38b4fc9d479385,1.23267138848,1,0.999687041913,-0.167300485164,4,1,1,0,8,22,0,0.409090909091,0.590909090909
6c1b0325a39a74e7c6190b880864f5ac,0.847039638508,1,0.999032526554,-0.162015235125,1,2,2,0,14,26,0,0.538461538462,0.461538461538
96979c6e87252c545660ba5185f3def1,0.544283732969,1,0.930045895138,-0.189762797828,2,2,2,0,1,5,0,0.4,0.6
70224f7b5b882b2318e19871d7781048,0.976105577178,0,0.257670878667,-0.168621797674,1,2,2,17,2,21,0,0.0952380952381,0.904761904762
9f6af2cfe7e71a4e6b83a9d07327c04d,0.802818782038,1,0.997206632579,-0.183156235279,4,2,2,0,2,10,0,0.4,0.6
2b9e0caf979a08dadae2aa373faf7e06,1.59361746059,0,0.889302950699,-0.0259200466338,1,11,2,0,60,129,0,0.46511627907,0.53488372093
b624c0b1b3c93e2af5167e3c2d75917a,2.98296502922,1,0.999794321705,0.862001959836,6,2,2,231,210,801,0,0.267166042447,0.732833957553
a549a2476192ec0234d486fab60782e3,1.53677021956,1,0.998093171116,-0.131625047404,2,2,2,32,5,49,0,0.122448979592,0.877551020408
765a4ecaa81aec438b097a452da95859,1.15637455371,1,0.996730296893,-0.164657860145,2,2,2,0,11,24,0,0.5,0.5
a3a5cda4832d0968fba0c3b860c9b1ad,0.544283732969,0,0.997360690952,-0.183156235279,3,2,3,0,3,10,0,0.5,0.5
d984e32f5c3a9fdfcd8c2d6733f5b62a,0.544283732969,1,0.99358807463,-0.189762797828,1,3,2,0,2,5,0,0.4,0.6
708ddccdb0d35af1434aa7e1239ecfc0,0.823959216501,1,0.994580635699,-0.177870985241,1,5,2,6,4,14,0,0.285714285714,0.714285714286
b2741b22b8407b06c455f37cc4bf52e6,2.15967260836,1,0.99931477936,0.0150406411646,1,7,2,122,14,155,5,0.0875,0.9125
abad1022711b667cf96b14a4e8762e47,0.959614793912,1,0.998898901071,-0.175228360222,2,2,2,13,1,16,0,0.125,0.875
e7b5350f8d0779842c568a64e3548f2e,0.286835983056,1,0.970578012526,-0.193726735356,1,1,1,0,1,2,0,0.5,0.5
336127c67b5e193beb2fd0043f1ec252,0.681610269053,1,0.7763111346,-0.18051361026,1,7,2,0,5,12,0,0.416666666667,0.583333333333
b704ad2bf91918142e129e1729a291bd,0.456334432293,0,0.998145513501,-0.191084110337,1,2,2,0,1,4,0,0.25,0.75
