,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
737,35F8-5F75-9425-49B2-AFA9_2017-10-19 03:49:55,1800605.0,2,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26855131.0,0,0,0,0,0,0,0,0,0,0.9371642382523344,0,2,35F8-5F75-9425-49B2-AFA9
738,E7A2-B5D4-2E97-4AED-B6DD_2017-06-11 01:31:55,998.0,1,1,6,3,1,1,1,0,0,0,551,2232,0,0,0,76,112,204,198,188,184,270,260,267,248,0,243,213,34,0,0,26,33,35,37,91,64,3171091.0,0,1312,920,0,0,0,0,0,0,0.9996853808326313,1,2783,E7A2-B5D4-2E97-4AED-B6DD
739,7EB7-259B-AB74-F4B5-5525_2017-09-16 06:56:36,1338.0,3,3,6,6,1,1,10,0,0,578,0,792,1273,96,143,319,179,198,128,82,73,82,84,85,86,68,9,10,11,47,16,83,62,169,108,147,358,2362074.0,0,161,1904,172,0,0,0,1101,1273,0.9994338693380588,1,2643,7EB7-259B-AB74-F4B5-5525
742,EAB5-D7AB-86C4-4688-8BAB_2017-10-24 13:36:36,27147.0,13,13,4,4,1,1,30,0,0,4269,1747,93,92,194,202,437,768,764,690,372,116,33,9,8,5,82,36,71,149,221,230,246,301,278,255,385,349,9671461.0,0,90,95,91,1,0,0,0,91,0.997200938526436,1,6201,EAB5-D7AB-86C4-4688-8BAB
744,A468-4842-4C44-4496-4495_2017-10-11 10:42:03,4278.0,6,6,12,4,1,1,6,0,0,1806,0,3217,7,43,37,238,304,516,385,316,309,313,301,287,295,78,302,337,104,43,26,44,88,107,135,232,190,5466300.0,0,1912,1312,4,3,0,0,0,4,0.9992179985369004,0,5030,A468-4842-4C44-4496-4495
746,5245-A998-85E4-7D8B-8DCD_2017-09-13 15:01:33,986.0,14,14,6,5,1,1,35,0,0,9833,135,6,57,304,328,422,959,1139,1328,1288,544,185,216,200,143,268,70,152,207,372,208,293,231,263,346,310,255,2901252.0,0,11,52,51,6,0,0,0,51,0.9996602621838732,1,10031,5245-A998-85E4-7D8B-8DCD
749,CB6F-728A-B442-7C94-5798_2017-08-25 05:04:50,9187.0,1,1,13,2,1,1,72,0,0,0,437,0,330,1,0,80,103,118,139,33,5,0,0,0,0,0,0,0,0,1,47,47,55,25,19,63,31,9939120.0,0,313,17,325,5,0,0,0,325,0.9990765262873372,1,767,CB6F-728A-B442-7C94-5798
750,CBFF-2C3F-5EE4-5429-B6A2_2017-09-16 05:56:02,128013.0,2,2,7,7,1,1,7,0,0,6,25,8308,10,189,191,231,323,358,525,519,557,531,523,539,420,208,413,364,300,184,210,212,214,331,358,384,265,2212713.0,0,5057,3261,6,2,2,0,0,6,0.9453105574937006,1,8349,CBFF-2C3F-5EE4-5429-B6A2
752,78C9-F52A-B842-358B-B226_2017-07-24 00:02:16,132067.0,1,1,3,2,1,1,1,0,0,0,379,26,0,0,0,33,37,32,42,6,4,2,4,5,5,0,0,0,0,0,35,33,31,39,33,37,27,1539505.0,0,0,26,0,0,0,0,0,0,0.9209923353585726,0,405,78C9-F52A-B842-358B-B226
753,8FC4-3BBF-54BC-DA7C-6C59_2017-07-08 01:51:06,2118.0,1,1,12,2,1,1,1,0,0,0,634,1287,0,0,0,70,267,210,126,124,115,121,110,123,124,50,36,0,0,0,45,40,58,59,77,84,82,1378749.0,0,0,1287,0,0,0,0,0,0,0.9984661810297444,1,1921,8FC4-3BBF-54BC-DA7C-6C59
