,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
1844,38A3-58AC-2DD4-2228-42E5_2017-09-28 10:33:08,38A3-58AC-2DD4-2228-42E5,4786.0,1,2,14,2,1.4562909245092566,28,0,0,60,2,2,18,13,6,6,2,6,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,19,608894.0,0,88,0,0,19,19,69,0.9922011471776822,1,88
1845,23B7-82D7-5846-3294-FBAB_2017-09-12 16:28:32,23B7-82D7-5846-3294-FBAB,1430.0,2,2,2,2,1.7912970120862215,31,0,0,33,0,0,7,6,1,3,3,2,8,3,0,1,2,0,0,7,2,3,6,2,0,0,2,6,705509.0,0,64,0,1,12,13,51,0.9979771946377268,1,64
1846,85DA-4E7F-E8B4-2378-A5A3_2017-09-14 22:58:11,85DA-4E7F-E8B4-2378-A5A3,116054.0,2,2,5,2,1.6827494392771074,97,0,0,12,7,0,16,4,8,0,1,0,17,0,8,0,0,0,0,18,0,2,18,2,8,0,0,0,2103614.0,0,109,0,1,5,6,103,0.9477156043156004,1,109
1847,A73F-535E-37B4-A5B6-44CC_2017-06-17 02:36:13,A73F-535E-37B4-A5B6-44CC,29006.0,1,1,5,2,0.7892773734611849,0,0,0,22,0,4,0,0,1,0,0,0,0,0,0,0,7,7,0,3,0,0,0,0,0,0,0,0,779882.0,0,22,0,0,13,13,9,0.9641408946603238,0,22
1848,2E86-883F-348D-825A-7FB7_2017-09-15 05:36:41,2E86-883F-348D-825A-7FB7,1689.0,5,2,3,2,1.7565452545604632,166,1,2,14,0,0,0,10,0,0,31,2,0,8,0,0,31,31,3,0,8,7,3,10,0,4,31,4,9511563.0,0,182,1,3,3,6,177,0.9998224581877996,1,183
1849,2A77-D598-6374-DF6B-B5C2_2017-10-25 23:33:26,2A77-D598-6374-DF6B-B5C2,1400.0,2,2,2,2,2.048240807670522,143,0,0,22,2,3,0,2,0,7,26,8,2,3,0,3,26,26,5,4,4,6,0,4,0,3,26,5,3119000.0,0,165,0,1,10,11,154,0.9995513395718496,1,165
1851,E326-3AD2-E3A4-758B-D4E2_2017-08-19 10:51:53,E326-3AD2-E3A4-758B-D4E2,38501.0,5,2,4,2,1.9533097820366727,59,1,0,42,0,12,3,5,3,15,4,2,0,5,0,14,0,4,0,0,3,2,4,3,4,17,2,0,9603071.0,0,102,0,3,18,21,81,0.9960067715098742,1,102
1852,D94F-A322-FE47-FB83-B3E9_2017-08-25 08:42:15,D94F-A322-FE47-FB83-B3E9,2687.0,2,2,4,2,2.0906363181201866,85,0,2,28,4,12,3,18,4,8,0,0,2,10,2,7,2,0,2,2,9,2,2,7,4,11,4,0,2881990.0,0,115,0,3,8,11,104,0.9990685265629392,1,115
1853,F552-5945-684F-4987-99F7_2017-03-22 06:47:38,F552-5945-684F-4987-99F7,2280.0,1,1,6,1,1.1345725477245825,0,0,4,25,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,6,0,1,4,0,7,1,0,0,1220031.0,0,26,3,0,10,10,19,0.9981346809445386,1,29
1854,ED9B-97B6-B7B4-F789-39F6_2017-07-30 04:51:58,ED9B-97B6-B7B4-F789-39F6,1073.0,1,2,2,2,0.7315151084145227,7,0,0,2,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,617871.0,0,9,0,0,1,1,8,0.9982664021300796,1,9
